name	loc	city	state	news_wiki	city_wiki	lat	long	url	robots_url	robots_sitemap_urls	sitemap_url1	sitemap_url2	sitemap_url3	sitemap_url_template1	sitemap_url_template2																																																																																																																																																																																																									
The Morning Call	Allentown, Pennsylvania	Allentown	Pennsylvania	https://en.wikipedia.org/wiki/The_Morning_Call	https://en.wikipedia.org/wiki/Allentown,_Pennsylvania	40deg36'06''N	75deg28'38''W	http://mcall.com/	http://mcall.com/robots.txt	['https://www.mcall.com/arcio/sitemap-index/']	https://www.mcall.com/sitemap-story-1.xml																																																																																																																																																																																																													
Anchorage Daily News	Anchorage, Alaska	Anchorage	Alaska	https://en.wikipedia.org/wiki/Anchorage_Daily_News	https://en.wikipedia.org/wiki/Anchorage,_Alaska	61deg13'N	149deg54'W	http://www.adn.com	http://www.adn.com/robots.txt	['http://www.adn.com/feeds/sitemap/']	https://www.adn.com/feeds/sitemap/																																																																																																																																																																																																													
Anchorage Press	Anchorage, Alaska	Anchorage	Alaska	https://en.wikipedia.org/wiki/Anchorage_Press	https://en.wikipedia.org/wiki/Anchorage,_Alaska	61deg13'N	149deg54'W	http://anchoragepress.com/	http://anchoragepress.com/robots.txt	['https://www.anchoragepress.com/sitemap.xml']	https://www.anchoragepress.com/tncms/sitemap/news.xml																																																																																																																																																																																																													
Petroleum News	Anchorage, Alaska	Anchorage	Alaska	https://en.wikipedia.org/wiki/Petroleum_News	https://en.wikipedia.org/wiki/Anchorage,_Alaska	61deg13'N	149deg54'W			[]																																																																																																																																																																																																														
The Ann Arbor News	Ann Arbor, Michigan	Ann Arbor	Michigan	https://en.wikipedia.org/wiki/The_Ann_Arbor_News	https://en.wikipedia.org/wiki/Ann_Arbor,_Michigan	42deg16'53''N	83deg44'54''W	https://www.mlive.com/ann-arbor/	https://www.mlive.com/robots.txt	['https://www.mlive.com/arcio/news-sitemap/']	https://www.mlive.com/arcio/news-sitemap/																																																																																																																																																																																																													
The Michigan Daily	Ann Arbor, Michigan	Ann Arbor	Michigan	https://en.wikipedia.org/wiki/The_Michigan_Daily	https://en.wikipedia.org/wiki/Ann_Arbor,_Michigan	42deg16'53''N	83deg44'54''W	http://www.michigandaily.com/	http://www.michigandaily.com/robots.txt	[]																																																																																																																																																																																																														
Atlanta Journal-Constitution	Atlanta, Georgia	Atlanta	Georgia	https://en.wikipedia.org/wiki/Atlanta_Journal-Constitution	https://en.wikipedia.org/wiki/Atlanta,_Georgia	33deg45'18''N	84deg23'24''W	http://www.ajc.com	http://www.ajc.com/robots.txt	[]	https://www.ajc.com/sitemap-latest-stories.xml																																																																																																																																																																																																													
Creative Loafing	Atlanta, Georgia	Atlanta	Georgia	https://en.wikipedia.org/wiki/Creative_Loafing	https://en.wikipedia.org/wiki/Atlanta,_Georgia	33deg45'18''N	84deg23'24''W	https://creativeloafing.com	https://creativeloafing.com/robots.txt	['https://creativeloafing.com/sitemap.xml']																																																																																																																																																																																																														
Marietta Daily Journal	Atlanta, Georgia	Atlanta	Georgia	https://en.wikipedia.org/wiki/Marietta_Daily_Journal	https://en.wikipedia.org/wiki/Atlanta,_Georgia	33deg45'18''N	84deg23'24''W	http://www.mdjonline.com	http://www.mdjonline.com/robots.txt	['https://www.mdjonline.com/sitemap.xml']	https://www.mdjonline.com/tncms/sitemap/news.xml																																																																																																																																																																																																													
The Augusta Chronicle	Augusta, Georgia	Augusta	Georgia	https://en.wikipedia.org/wiki/The_Augusta_Chronicle	https://en.wikipedia.org/wiki/Augusta,_Georgia	33deg28'N	81deg58'W	http://chronicle.augusta.com/	http://chronicle.augusta.com/robots.txt	[]																																																																																																																																																																																																														
