name,city,state,url,sitemap_url1,sitemap_url2,sitemap_url3,sitemap_url4,sitemap_url5,notes,,,,,,
The Morning Call,Allentown,Pennsylvania,http://mcall.com/,https://www.mcall.com/sitemap-story-1.xml,,,,,,,,,,,
Anchorage Daily News,Anchorage,Alaska,http://www.adn.com,https://www.adn.com/feeds/sitemap/,,,,,,,,,,,
Anchorage Press,Anchorage,Alaska,http://anchoragepress.com/,https://www.anchoragepress.com/tncms/sitemap/news.xml,,,,,,,,,,,
Petroleum News,Anchorage,Alaska,,,,,,,,,,,,,
The Ann Arbor News,Ann Arbor,Michigan,https://www.mlive.com/ann-arbor/,https://www.mlive.com/arcio/news-sitemap/,,,,,,,,,,,
The Michigan Daily,Ann Arbor,Michigan,http://www.michigandaily.com/,,,,,,,,,,,,
Atlanta Journal-Constitution,Atlanta,Georgia,http://www.ajc.com,https://www.ajc.com/sitemap-latest-stories.xml,,,,,,,,,,,
Creative Loafing,Atlanta,Georgia,https://creativeloafing.com,,,,,,,,,,,,
Marietta Daily Journal,Atlanta,Georgia,http://www.mdjonline.com,https://www.mdjonline.com/tncms/sitemap/news.xml,,,,,,,,,,,
The Augusta Chronicle,Augusta,Georgia,http://chronicle.augusta.com/,,,,,,,,,,,,
Aurora Sentinel,Aurora,Colorado,http://www.sentinelcolorado.com/,,,,,,,,,,,,
Austin American-Statesman,Austin,Texas,http://www.statesman.com/,https://www.statesman.com/section/google-recent-sitemap,,,,,,,,,,,
Austin Business Journal,Austin,Texas,http://acbj.com/,,,,,,,,,,,,
Austin Chronicle,Austin,Texas,http://austinchronicle.com,,,,,,,,,,,,
Bakersfield Californian,Bakersfield,California,http://www.bakersfield.com,https://www.bakersfield.com/tncms/sitemap/news.xml,,,,,,,,,,,
The Baltimore Afro-American,Baltimore,Maryland,http://afro.com,,,,,,,,,,,,
Baltimore Business Journal,Baltimore,Maryland,http://acbj.com/,,,,,,,,,,,,
The Baltimore Sun,Baltimore,Maryland,http://baltimoresun.com,https://www.baltimoresun.com/arcio/news-sitemap/,https://www.baltimoresun.com/arcio/sitemap/?from=100,,,,,,,,,,
Daily Record,Baltimore,Maryland,http://www.thedailyrecord.com,,,,,,,,,,,,
The Advocate,Baton Rouge,Louisiana,http://theadvocate.com,https://www.theadvocate.com/tncms/sitemap/news.xml,,,,,,,,,,,
The Birmingham News,Birmingham,Alabama,http://www.al.com/birmingham/,https://www.al.com/arcio/news-sitemap/,,,,,,,,,,,
Idaho Statesman,Boise,Idaho,http://www.idahostatesman.com/,https://www.idahostatesman.com/sitemap/googlenews/story.xml,,,,,,,,,,,
Boston Business Journal,Boston,Massachusetts,http://www.bizjournals.com/boston/,https://www.bizjournals.com/sitemaps/news/googlenews_boston.xml,,,,,,,,,,,
The Boston Globe,Boston,Massachusetts,https://www.bostonglobe.com,https://www.bostonglobe.com/arcio/news-sitemap/,,,,,,,,,,,
Boston Herald,Boston,Massachusetts,http://www.bostonherald.com/,,,,https://www.bostonherald.com/sitemap.xml?yyyy=%Y&mm=%m&dd=%d,,,,,,,,
The Buffalo News,Buffalo,New York,http://www.buffalonews.com,,,,,,,,,,,,
The Post and Courier,Charleston,South Carolina,http://www.postandcourier.com,https://www.postandcourier.com/tncms/sitemap/news.xml,,,,,,,,,,,
The Charlotte Observer,Charlotte,North Carolina,http://charlotteobserver.com,https://www.charlotteobserver.com/sitemap/story/googlenews.xml,,,,,,,,,,,
Chattanooga Times Free Press,Chattanooga,Tennessee,http://timesfreepress.com/,,,,,,,,,,,,
Chicago Sun-Times,Chicago,Illinois,https://chicago.suntimes.com,https://chicago.suntimes.com/sitemaps/google_news,,,,,,,,,,,
Chicago Tribune,Chicago,Illinois,http://chicagotribune.com,https://www.chicagotribune.com/arcio/news-sitemap/,,,,,,,,,,,
The Cincinnati Enquirer,Cincinnati,Ohio,http://www.cincinnati.com/,https://www.cincinnati.com/news-sitemap.xml,,,,,,,,,,,
City Beat,Cincinnati,Ohio,http://citybeat.com,https://www.citybeat.com/sitemap-google-news.xml,,,,,,,,,,,
Cleveland Scene,Cleveland,Ohio,https://www.clevescene.com/,https://www.clevescene.com/cleveland/Sitemap.xml?id=News,,,,,,,,,,,
The Plain Dealer,Cleveland,Ohio,http://www.cleveland.com/,https://www.cleveland.com/arcio/news-sitemap/,,,,,,,,,,,
The Gazette,Colorado Springs,Colorado,http://www.gazette.com,https://gazette.com/tncms/sitemap/news.xml,,,,,,,,,,,
Ledger-Enquirer,Columbus,Georgia,http://www.ledger-enquirer.com/,https://www.ledger-enquirer.com/sitemap/story/googlenews.xml,https://www.ledger-enquirer.com/sitemap/story/update.xml,,,,,,,,,,
The Columbus Dispatch,Columbus,Ohio,http://dispatch.com,https://www.dispatch.com/section/google-recent-sitemap,,,,,,,,,,,
Corpus Christi Caller-Times,Corpus Christi,Texas,http://caller.com,https://www.caller.com/news-sitemap.xml,,,,,,,,,,,
The Dallas Morning News,Dallas,Texas,https://www.dallasnews.com/,,,,,,,,,,,,
Dallas Observer,Dallas,Texas,http://dallasobserver.com,https://www.dallasobserver.com/sitemap/content/1,,,,,,,,,,,
The Dayton Daily News,Dayton,Ohio,http://www.daytondailynews.com/,,,,,,,,,,,,
Denver Post,Denver,Colorado,http://www.denverpost.com/,,,,https://www.denverpost.com/sitemap.xml?yyyy=%Y&mm=%m&dd=%d,https://www.denverpost.com/sitemap.xml?yyyy=%Y&mm=%m&dd=%d,,,,,,,
The Des Moines Register,Des Moines,Iowa,https://www.desmoinesregister.com,https://www.desmoinesregister.com/news-sitemap.xml,,,,,,,,,,,
