state	county	county_name	county_href	metro	metro_name	metro_href	cities
Alabama	Autauga	Autauga County, Alabama	/wiki/Autauga_County,_Alabama	Montgomery, AL Metropolitan Statistical Area	Montgomery, AL Metropolitan Statistical Area	/wiki/Montgomery,_AL_Metropolitan_Statistical_Area	['Montgomery']
Alabama	Baldwin	Baldwin County, Alabama	/wiki/Baldwin_County,_Alabama	Daphne-Fairhope-Foley, AL Metropolitan Statistical Area	Daphne-Fairhope-Foley, AL Metropolitan Statistical Area	/wiki/Daphne-Fairhope-Foley,_AL_Metropolitan_Statistical_Area	['Daphne', 'Fairhope', 'Foley']
Alabama	Barbour	Barbour County, Alabama	/wiki/Barbour_County,_Alabama				[]
Alabama	Bibb	Bibb County, Alabama	/wiki/Bibb_County,_Alabama	Birmingham-Hoover, AL Metropolitan Statistical Area	Birmingham-Hoover, AL Metropolitan Statistical Area	/wiki/Birmingham-Hoover,_AL_Metropolitan_Statistical_Area	['Birmingham', 'Hoover']
Alabama	Blount	Blount County, Alabama	/wiki/Blount_County,_Alabama	Birmingham-Hoover, AL Metropolitan Statistical Area	Birmingham-Hoover, AL Metropolitan Statistical Area	/wiki/Birmingham-Hoover,_AL_Metropolitan_Statistical_Area	['Birmingham', 'Hoover']
Alabama	Bullock	Bullock County, Alabama	/wiki/Bullock_County,_Alabama				[]
Alabama	Butler	Butler County, Alabama	/wiki/Butler_County,_Alabama				[]
Alabama	Calhoun	Calhoun County, Alabama	/wiki/Calhoun_County,_Alabama	Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area	Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area	/wiki/Anniston-Oxford-Jacksonville,_AL_Metropolitan_Statistical_Area	['Anniston', 'Oxford', 'Jacksonville']
Alabama	Chambers	Chambers County, Alabama	/wiki/Chambers_County,_Alabama	Valley, AL Micropolitan Statistical Area	Valley, AL Micropolitan Statistical Area	/wiki/Valley,_AL_Micropolitan_Statistical_Area	['Valley']
Alabama	Cherokee	Cherokee County, Alabama	/wiki/Cherokee_County,_Alabama				[]
Alabama	Chilton	Chilton County, Alabama	/wiki/Chilton_County,_Alabama	Birmingham-Hoover, AL Metropolitan Statistical Area	Birmingham-Hoover, AL Metropolitan Statistical Area	/wiki/Birmingham-Hoover,_AL_Metropolitan_Statistical_Area	['Birmingham', 'Hoover']
Alabama	Choctaw	Choctaw County, Alabama	/wiki/Choctaw_County,_Alabama				[]
Alabama	Clarke	Clarke County, Alabama	/wiki/Clarke_County,_Alabama				[]
Alabama	Clay	Clay County, Alabama	/wiki/Clay_County,_Alabama				[]
Alabama	Cleburne	Cleburne County, Alabama	/wiki/Cleburne_County,_Alabama				[]
Alabama	Coffee	Coffee County, Alabama	/wiki/Coffee_County,_Alabama	Enterprise, AL Micropolitan Statistical Area	Enterprise, AL Micropolitan Statistical Area	/wiki/Enterprise,_AL_Micropolitan_Statistical_Area	['Enterprise']
Alabama	Colbert	Colbert County, Alabama	/wiki/Colbert_County,_Alabama	Florence-Muscle Shoals, AL Metropolitan Statistical Area	Florence-Muscle Shoals, AL Metropolitan Statistical Area	/wiki/Florence-Muscle_Shoals,_AL_Metropolitan_Statistical_Area	['Florence', 'Muscle Shoals']
Alabama	Conecuh	Conecuh County, Alabama	/wiki/Conecuh_County,_Alabama				[]
Alabama	Coosa	Coosa County, Alabama	/wiki/Coosa_County,_Alabama	Talladega-Sylacauga, AL Micropolitan Statistical Area	Talladega-Sylacauga, AL Micropolitan Statistical Area	/wiki/Talladega-Sylacauga,_AL_Micropolitan_Statistical_Area	['Talladega', 'Sylacauga']
Alabama	Covington	Covington County, Alabama	/wiki/Covington_County,_Alabama				[]
Alabama	Crenshaw	Crenshaw County, Alabama	/wiki/Crenshaw_County,_Alabama				[]
Alabama	Cullman	Cullman County, Alabama	/wiki/Cullman_County,_Alabama	Cullman, AL Micropolitan Statistical Area	Cullman, AL Micropolitan Statistical Area	/wiki/Cullman,_AL_Micropolitan_Statistical_Area	['Cullman']
Alabama	Dale	Dale County, Alabama	/wiki/Dale_County,_Alabama	Ozark, AL Micropolitan Statistical Area	Ozark, AL Micropolitan Statistical Area	/wiki/Ozark,_AL_Micropolitan_Statistical_Area	['Ozark']
Alabama	Dallas	Dallas County, Alabama	/wiki/Dallas_County,_Alabama	Selma, AL Micropolitan Statistical Area	Selma, AL Micropolitan Statistical Area	/wiki/Selma,_AL_Micropolitan_Statistical_Area	['Selma']
Alabama	DeKalb	DeKalb County, Alabama	/wiki/DeKalb_County,_Alabama				[]
Alabama	Elmore	Elmore County, Alabama	/wiki/Elmore_County,_Alabama	Montgomery, AL Metropolitan Statistical Area	Montgomery, AL Metropolitan Statistical Area	/wiki/Montgomery,_AL_Metropolitan_Statistical_Area	['Montgomery']
Alabama	Escambia	Escambia County, Alabama	/wiki/Escambia_County,_Alabama				[]
Alabama	Etowah	Etowah County, Alabama	/wiki/Etowah_County,_Alabama	Gadsden, AL Metropolitan Statistical Area	Gadsden, AL Metropolitan Statistical Area	/wiki/Gadsden,_AL_Metropolitan_Statistical_Area	['Gadsden']
Alabama	Fayette	Fayette County, Alabama	/wiki/Fayette_County,_Alabama				[]
Alabama	Franklin	Franklin County, Alabama	/wiki/Franklin_County,_Alabama				[]
