place	url	type	parent	latitude	longitude
Callahan County, Texas	https://en.wikipedia.org/wiki/Callahan_County,_Texas	feature	Abilene metropolitan area	32°17′N	99°22′W
Impact, Texas	https://en.wikipedia.org/wiki/Impact,_Texas	feature	Abilene metropolitan area	32°30′2″N	99°44′41″W
Jones County, Texas	https://en.wikipedia.org/wiki/Jones_County,_Texas	feature	Abilene metropolitan area	32°44′N	99°53′W
View, Texas	https://en.wikipedia.org/wiki/View,_Texas	feature	Abilene metropolitan area	32°20′24″N	99°53′05″W
Dyess Air Force Base	https://en.wikipedia.org/wiki/Dyess_Air_Force_Base	feature	Abilene metropolitan area	32°25′15″N	099°51′17″W
Putnam, Texas	https://en.wikipedia.org/wiki/Putnam,_Texas	feature	Abilene metropolitan area	32°22′14″N	99°11′41″W
Avoca, Texas	https://en.wikipedia.org/wiki/Avoca,_Texas	feature	Abilene metropolitan area	32°51′56″N	99°42′57″W
Potosi, Texas	https://en.wikipedia.org/wiki/Potosi,_Texas	feature	Abilene metropolitan area	32°20′8″N	99°39′57″W
Noodle, Texas	https://en.wikipedia.org/wiki/Noodle,_Texas	link	Abilene metropolitan area	32°36′8″N	100°3′7″W
Corinth, Jones County, Texas	https://en.wikipedia.org/wiki/Corinth,_Jones_County,_Texas	link	Abilene metropolitan area	32°51′15″N	99°52′09″W
Caps, Texas	https://en.wikipedia.org/wiki/Caps,_Texas	feature	Abilene metropolitan area	32°22′23″N	99°50′49″W
Taylor County, Texas	https://en.wikipedia.org/wiki/Taylor_County,_Texas	feature	Abilene metropolitan area	32°19′N	99°53′W
Merkel, Texas	https://en.wikipedia.org/wiki/Merkel,_Texas	feature	Abilene metropolitan area	32°28′6″N	100°0′48″W
Trent, Texas	https://en.wikipedia.org/wiki/Trent,_Texas	feature	Abilene metropolitan area	32°29′15″N	100°7′25″W
Buffalo Gap, Texas	https://en.wikipedia.org/wiki/Buffalo_Gap,_Texas	feature	Abilene metropolitan area	32°16′52″N	99°49′45″W
Wylie, Taylor County, Texas	https://en.wikipedia.org/wiki/Wylie,_Taylor_County,_Texas	feature	Abilene metropolitan area	32°22′22″N	99°46′31″W
Lawn, Texas	https://en.wikipedia.org/wiki/Lawn,_Texas	feature	Abilene metropolitan area	32°8′7″N	99°44′53″W
Cottonwood, Callahan County, Texas	https://en.wikipedia.org/wiki/Cottonwood,_Callahan_County,_Texas	feature	Abilene metropolitan area	32°12′21″N	99°12′16″W
Cross Plains, Texas	https://en.wikipedia.org/wiki/Cross_Plains,_Texas	feature	Abilene metropolitan area	32°7′35″N	99°9′53″W
Nugent, Texas	https://en.wikipedia.org/wiki/Nugent,_Texas	feature	Abilene metropolitan area	32°41′38″N	99°40′03″W
Ovalo, Texas	https://en.wikipedia.org/wiki/Ovalo,_Texas	feature	Abilene metropolitan area	32°10′22″N	99°48′28″W
Lueders, Texas	https://en.wikipedia.org/wiki/Lueders,_Texas	link	Abilene metropolitan area	32°48′1″N	99°37′25″W
Mall of Abilene	https://en.wikipedia.org/wiki/Mall_of_Abilene	link	Abilene metropolitan area	32°24′01″N	99°45′44″W
Tuscola, Texas	https://en.wikipedia.org/wiki/Tuscola,_Texas	link	Abilene metropolitan area	32°12′33″N	99°47′50″W
Tuxedo, Texas	https://en.wikipedia.org/wiki/Tuxedo,_Texas	link	Abilene metropolitan area	32°55′58″N	99°57′6″W
